method,backbone,n_way,k_shot,split,loss_mean,acc_mean,acc_std,inf_ms_mean,n_episodes,timestamp
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,5,5,test,2.3056551563739776,33.4699991196394,7.403991883760344,1.587993890000962,200,2026-08-23T06:05:41.901269+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,5,5,test,5.769388414621353,32.40999920293689,7.5717828407923955,1.5618184016998384,200,2026-08-23T06:15:10.088201+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,5,10,test,3.5424678570032118,29.469999186694622,6.786685243911868,0.028101372699893545,200,2026-08-23T06:24:23.777370+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,5,10,test,1.6106462591886521,38.0199990645051,8.872406424089853,0.3460405835000529,200,2026-08-23T06:34:10.605263+00:00
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,5,10,test,3.3417780780792237,37.869999036192894,8.342847035890955,0.3447061235986439,200,2026-08-23T06:43:37.310995+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,5,10,test,1.7295702749490738,40.819998882710934,8.455033725097346,0.81854240489929,200,2026-08-23T06:53:48.086967+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,5,10,test,3.5817329573631285,40.01999897509813,7.68892686783322,0.8110510601007264,200,2026-08-23T07:03:43.400426+00:00
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,5,10,test,1.8805257034301759,40.07999889552593,8.513142497587586,1.5995939351001653,200,2026-08-23T07:13:23.871010+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,5,10,test,3.5075336462259292,40.47999880462885,8.537540252523703,1.6572158813003626,200,2026-08-23T07:23:27.675753+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,7,1,test,12.056429207324982,17.26428613997996,4.4349665872624,0.016149321285281206,200,2026-08-23T07:33:29.944856+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,7,1,test,3.286242525577545,18.278571862727404,4.91000132587781,0.2497254609288575,200,2026-08-23T07:42:49.867374+00:00
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,7,1,test,13.576976573467254,17.878571843728423,5.12094047957892,0.24730129028726616,200,2026-08-23T07:52:22.863184+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,7,1,test,3.6618397104740144,18.77857190184295,4.920588877656877,0.5823645344281821,200,2026-08-23T08:02:16.014755+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,7,1,test,15.18480052947998,17.828571893274784,4.617977371381107,0.5918550644998634,200,2026-08-23T08:12:13.185832+00:00
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,7,1,test,3.788848263025284,17.878571908921003,5.390803888094015,1.1402546517141934,200,2026-08-23T08:22:00.915542+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,7,1,test,15.200191469192506,17.48571473546326,4.567498320073305,1.141456942928536,200,2026-08-23T08:31:47.127884+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,7,5,test,5.534536871910095,21.078571926802397,5.131928046725426,0.015675571857952618,200,2026-08-23T08:41:41.585944+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,7,5,test,2.2528114199638365,25.57857221364975,6.063604440807598,0.2502156681422483,200,2026-08-23T08:51:43.408733+00:00
